id;province_id;city_id;city_name;pinyin;pinyin_first
563;6;211400;葫芦岛市;hu'lu'dao'shi;h'l'd's
564;6;211402;连山区;lian'shan'qu;l's'q
565;6;211403;龙港区;long'gang'qu;l'g'q
566;6;211404;南票区;nan'piao'qu;n'p'q
567;6;211421;绥中县;sui'zhong'xian;s'z'x
568;6;211422;建昌县;jian'chang'xian;j'c'x
569;6;211481;兴城市;xing'cheng'shi;x'c's
570;7;220100;长春市;chang'chun'shi;c'c's
571;7;220102;南关区;nan'guan'qu;n'g'q
572;7;220103;宽城区;kuan'cheng'qu;k'c'q
573;7;220104;朝阳区;chao'yang'qu;c'y'q
574;7;220105;二道区;er'dao'qu;e'd'q
575;7;220106;绿园区;lv'yuan'qu;l'y'q
576;7;220112;双阳区;shuang'yang'qu;s'y'q
577;7;220122;农安县;nong'an'xian;n'a'x
578;7;220181;九台市;jiu'tai'shi;j't's
579;7;220182;榆树市;yu'shu'shi;y's's
580;7;220183;德惠市;de'hui'shi;d'h's
581;7;220200;吉林市;ji'lin'shi;j'l's
582;7;220202;昌邑区;chang'yi'qu;c'y'q
583;7;220203;龙潭区;long'tan'qu;l't'q
584;7;220204;船营区;chuan'ying'qu;c'y'q
585;7;220211;丰满区;feng'man'qu;f'm'q
586;7;220221;永吉县;yong'ji'xian;y'j'x
587;7;220281;蛟河市;jiao'he'shi;j'h's
588;7;220282;桦甸市;hua'dian'shi;h'd's
589;7;220283;舒兰市;shu'lan'shi;s'l's
590;7;220284;磐石市;pan'shi'shi;p's's
591;7;220300;四平市;si'ping'shi;s'p's
592;7;220302;铁西区;tie'xi'qu;t'x'q
593;7;220303;铁东区;tie'dong'qu;t'd'q
594;7;220322;梨树县;li'shu'xian;l's'x
595;7;220323;伊通满族自治县;yi'tong'man'zu'zi'zhi'xian;y't'm'z'z'z'x
596;7;220381;公主岭市;gong'zhu'ling'shi;g'z'l's
597;7;220382;双辽市;shuang'liao'shi;s'l's
598;7;220400;辽源市;liao'yuan'shi;l'y's
599;7;220402;龙山区;long'shan'qu;l's'q
600;7;220403;西安区;xi'an'qu;x'a'q
601;7;220421;东丰县;dong'feng'xian;d'f'x
602;7;220422;东辽县;dong'liao'xian;d'l'x
603;7;220500;通化市;tong'hua'shi;t'h's
604;7;220502;东昌区;dong'chang'qu;d'c'q
605;7;220503;二道江区;er'dao'jiang'qu;e'd'j'q
606;7;220521;通化县;tong'hua'xian;t'h'x
607;7;220523;辉南县;hui'nan'xian;h'n'x
608;7;220524;柳河县;liu'he'xian;l'h'x
609;7;220581;梅河口市;mei'he'kou'shi;m'h'k's
610;7;220582;集安市;ji'an'shi;j'a's
611;7;220600;白山市;bai'shan'shi;b's's
612;7;220602;浑江区;hun'jiang'qu;h'j'q
613;7;220605;江源区;jiang'yuan'qu;j'y'q
614;7;220621;抚松县;fu'song'xian;f's'x
615;7;220622;靖宇县;jing'yu'xian;j'y'x
616;7;220623;长白朝鲜族自治县;zhang'bai'chao'xian'zu'zi'zhi'xian;z'b'c'x'z'z'z'x
617;7;220681;临江市;lin'jiang'shi;l'j's
618;7;220700;松原市;song'yuan'shi;s'y's
619;7;220702;宁江区;ning'jiang'qu;n'j'q
620;7;220721;前郭尔罗斯蒙古族自治县;qian'guo'er'luo'si'meng'gu'zu'zi'zhi'xian;q'g'e'l's'm'g'z'z'z'x
621;7;220722;长岭县;zhang'ling'xian;z'l'x
622;7;220723;乾安县;gan'an'xian;g'a'x
623;7;220724;扶余县;fu'yu'xian;f'y'x
624;7;220800;白城市;bai'cheng'shi;b'c's
625;7;220802;洮北区;tao'bei'qu;t'b'q
626;7;220821;镇赉县;zhen'lai'xian;z'l'x
627;7;220822;通榆县;tong'yu'xian;t'y'x
628;7;220881;洮南市;tao'nan'shi;t'n's
629;7;220882;大安市;da'an'shi;d'a's
630;7;222400;延边朝鲜族自治州;yan'bian'chao'xian'zu'zi'zhi'zhou;y'b'c'x'z'z'z'z
631;7;222401;延吉市;yan'ji'shi;y'j's
632;7;222402;图们市;tu'men'shi;t'm's
633;7;222403;敦化市;dun'hua'shi;d'h's
634;7;222404;珲春市;hui'chun'shi;h'c's
635;7;222405;龙井市;long'jing'shi;l'j's
636;7;222406;和龙市;he'long'shi;h'l's
637;7;222424;汪清县;wang'qing'xian;w'q'x
638;7;222426;安图县;an'tu'xian;a't'x
639;8;230100;哈尔滨市;ha'er'bin'shi;h'e'b's
640;8;230102;道里区;dao'li'qu;d'l'q
641;8;230103;南岗区;nan'gang'qu;n'g'q
642;8;230104;道外区;dao'wai'qu;d'w'q
643;8;230108;平房区;ping'fang'qu;p'f'q
